Entidad,Fecha,Temperatura,Precipitacion,D0,D1,D2,D3,D4,Area_total_afectada_sequias,IEA
Aguascalientes,2002-11-01,18.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2002-12-01,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2003-01-01,12.74316566429743,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2003-02-01,15.105629539951579,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2003-03-01,16.570585019136143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.482666666666667
Aguascalientes,2003-04-01,19.927090395480228,0.7,0.0,0.0,0.0,0.0,0.0,0.0,
Aguascalientes,2003-05-01,22.27646871945259,10.2,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Aguascalientes,2003-06-01,21.609406114718617,88.3,0.0,0.0,0.0,0.0,0.0,0.0,15.774666666666667
Aguascalientes,2003-07-01,20.201136302921014,178.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2003-08-01,19.40724504487945,112.7,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Aguascalientes,2003-09-01,19.294246376811593,130.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2003-10-01,17.186553375673352,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2003-11-01,15.947611111111108,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2003-12-01,11.751068583054014,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Aguascalientes,2004-01-01,12.169339472815775,32.09789724040467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2004-02-01,12.859431034482757,1.413713750636956,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Aguascalientes,2004-03-01,16.86723033663985,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2004-04-01,17.971877394636017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aguascalientes,2004-05-01,20.47388765294771,46.798591905265425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2004-06-01,19.715836592785738,216.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2004-07-01,19.19168033533807,128.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2004-08-01,19.158456062555526,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2004-09-01,18.50624073723212,137.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2004-10-01,17.94582213818124,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2004-11-01,14.705305498455052,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2004-12-01,12.121356020697995,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2005-01-01,12.699696127301202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.186333333333334
Aguascalientes,2005-02-01,14.34889918762423,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2005-03-01,14.993655183221824,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2005-04-01,19.38421480082789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aguascalientes,2005-05-01,20.419529594102297,6.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Aguascalientes,2005-06-01,22.22254237288136,35.5,97.89,0.0,0.0,0.0,0.0,97.89,99.90366666666667
Aguascalientes,2005-07-01,20.444470046082948,158.7,0.0,0.0,0.0,0.0,0.0,0.0,98.51533333333333
Aguascalientes,2005-08-01,19.210807362857665,166.7,0.0,0.0,0.0,0.0,0.0,0.0,58.189666666666675
Aguascalientes,2005-09-01,18.512237691686842,73.8,0.0,0.0,0.0,0.0,0.0,0.0,6.13
Aguascalientes,2005-10-01,17.60513942044833,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1793333333333336
Aguascalientes,2005-11-01,14.850284658843982,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2005-12-01,13.092126834144326,0.7,100.0,0.0,0.0,0.0,0.0,100.0,50.79366666666667
Aguascalientes,2006-01-01,13.128921589126254,4.8,100.0,0.0,0.0,0.0,0.0,100.0,80.86166666666666
Aguascalientes,2006-02-01,16.002563909774437,0.5,0.0,100.0,0.0,0.0,0.0,100.0,75.49033333333334
Aguascalientes,2006-03-01,17.7070760342334,0.1,0.0,1.2,98.8,0.0,0.0,100.0,36.45766666666667
Aguascalientes,2006-04-01,21.079465214761044,0.7,0.0,0.0,100.0,0.0,0.0,100.0,
Aguascalientes,2006-05-01,21.39530093082549,39.9,44.64,51.95,3.41,0.0,0.0,100.0,25.0
Aguascalientes,2006-06-01,21.67219002967188,50.0,0.0,47.09,52.91,0.0,0.0,100.0,85.14133333333332
Aguascalientes,2006-07-01,20.90167515563101,147.1,99.98,0.02,0.0,0.0,0.0,100.0,85.249
Aguascalientes,2006-08-01,19.91681659868818,158.3,0.0,0.0,0.0,0.0,0.0,0.0,38.17066666666667
Aguascalientes,2006-09-01,19.354036045886833,129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.14366666666666666
Aguascalientes,2006-10-01,18.103344503023266,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2006-11-01,14.605509670645446,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2006-12-01,12.512916859597674,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2007-01-01,13.32024144462539,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2007-02-01,13.65418782561982,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2007-03-01,17.2006562745412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2007-04-01,18.649189259001744,1.3,53.25,40.23,0.0,0.0,0.0,93.48,
Aguascalientes,2007-05-01,21.169937735307972,9.3,98.88,0.0,0.0,0.0,0.0,98.88,50.0
Aguascalientes,2007-06-01,21.556774102183354,247.5,0.0,0.0,0.0,0.0,0.0,0.0,36.17133333333334
Aguascalientes,2007-07-01,20.02855701433619,161.7,0.0,0.0,0.0,0.0,0.0,0.0,15.517000000000001
Aguascalientes,2007-08-01,19.96195515648434,57.6,0.0,0.0,0.0,0.0,0.0,0.0,12.069
Aguascalientes,2007-09-01,19.604976536921818,56.6,77.66,13.73,0.0,0.0,0.0,91.39,8.333333333333334
Aguascalientes,2007-10-01,18.463425588127638,11.5,22.93,0.15,0.0,0.0,0.0,23.069999999999993,12.277000000000001
Aguascalientes,2007-11-01,14.909140984290493,2.9219570378401074,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Aguascalientes,2007-12-01,14.165395885532721,0.4,0.0,0.0,0.0,0.0,0.0,0.0,42.06333333333333
Aguascalientes,2008-01-01,13.068133736637515,0.0,43.8,35.15,0.0,0.0,0.0,78.95,20.56266666666667
Aguascalientes,2008-02-01,15.009414131747798,3.1,26.8,0.0,0.0,0.0,0.0,26.799999999999997,17.647000000000002
Aguascalientes,2008-03-01,15.526902872286984,0.0,11.22,88.78,0.0,0.0,0.0,100.0,11.807666666666668
Aguascalientes,2008-04-01,19.617076357699773,13.2,11.22,88.78,0.0,0.0,0.0,100.0,
Aguascalientes,2008-05-01,21.296342076844404,19.6,9.55,90.45,0.0,0.0,0.0,100.0,0.0
Aguascalientes,2008-06-01,22.52058997540901,72.2,7.0,93.0,0.0,0.0,0.0,100.0,41.28766666666667
Aguascalientes,2008-07-01,19.130408567572122,201.0,0.0,0.0,0.0,0.0,0.0,0.0,11.207
Aguascalientes,2008-08-01,19.976750064567018,262.7,0.0,0.0,0.0,0.0,0.0,0.0,0.47900000000000004
Aguascalientes,2008-09-01,19.056906790500893,78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguascalientes,2008-10-01,17.19295071666144,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
