,__type,ReleaseID,Date,FileDate,D0,D1,D2,D3,D4,None,Entidad
0,DroughtMonitorSite.code.NadmData,225,2021-07-31,20210731,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
1,DroughtMonitorSite.code.NadmData,224,2021-06-30,20210630,37.64,3.54,0.0,0.0,0.0,58.82,Aguascalientes
2,DroughtMonitorSite.code.NadmData,223,2021-05-31,20210531,0.0,73.87,26.13,0.0,0.0,0.0,Aguascalientes
3,DroughtMonitorSite.code.NadmData,222,2021-04-30,20210430,0.0,51.55,48.45,0.0,0.0,0.0,Aguascalientes
4,DroughtMonitorSite.code.NadmData,221,2021-03-31,20210331,0.0,75.85,24.15,0.0,0.0,0.0,Aguascalientes
5,DroughtMonitorSite.code.NadmData,220,2021-02-28,20210228,43.61,56.39,0.0,0.0,0.0,0.0,Aguascalientes
6,DroughtMonitorSite.code.NadmData,219,2021-01-31,20210131,44.21,55.79,0.0,0.0,0.0,0.0,Aguascalientes
7,DroughtMonitorSite.code.NadmData,218,2020-12-31,20201231,25.18,74.82,0.0,0.0,0.0,0.0,Aguascalientes
8,DroughtMonitorSite.code.NadmData,217,2020-11-30,20201130,66.65,33.35,0.0,0.0,0.0,0.0,Aguascalientes
9,DroughtMonitorSite.code.NadmData,216,2020-10-31,20201031,75.62,0.0,0.0,0.0,0.0,24.38,Aguascalientes
10,DroughtMonitorSite.code.NadmData,215,2020-09-30,20200930,3.17,0.0,0.0,0.0,0.0,96.83,Aguascalientes
11,DroughtMonitorSite.code.NadmData,214,2020-08-31,20200831,2.72,0.0,0.0,0.0,0.0,97.28,Aguascalientes
12,DroughtMonitorSite.code.NadmData,213,2020-07-31,20200731,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
13,DroughtMonitorSite.code.NadmData,212,2020-06-30,20200630,22.82,0.0,0.0,0.0,0.0,77.18,Aguascalientes
14,DroughtMonitorSite.code.NadmData,211,2020-05-31,20200531,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
15,DroughtMonitorSite.code.NadmData,210,2020-04-30,20200430,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
16,DroughtMonitorSite.code.NadmData,209,2020-03-31,20200331,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
17,DroughtMonitorSite.code.NadmData,208,2020-02-29,20200229,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
18,DroughtMonitorSite.code.NadmData,207,2020-01-31,20200131,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
19,DroughtMonitorSite.code.NadmData,206,2019-12-31,20191231,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
20,DroughtMonitorSite.code.NadmData,205,2019-11-30,20191130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
21,DroughtMonitorSite.code.NadmData,204,2019-10-31,20191031,21.77,6.13,0.0,0.0,0.0,72.09,Aguascalientes
22,DroughtMonitorSite.code.NadmData,203,2019-09-30,20190930,54.83,12.86,0.0,0.0,0.0,32.3,Aguascalientes
23,DroughtMonitorSite.code.NadmData,202,2019-08-31,20190831,85.24,4.88,0.0,0.0,0.0,9.88,Aguascalientes
24,DroughtMonitorSite.code.NadmData,201,2019-07-31,20190731,44.83,55.17,0.0,0.0,0.0,0.0,Aguascalientes
25,DroughtMonitorSite.code.NadmData,200,2019-06-30,20190630,75.57,24.43,0.0,0.0,0.0,0.0,Aguascalientes
26,DroughtMonitorSite.code.NadmData,199,2019-05-31,20190531,74.16,24.25,0.0,0.0,0.0,1.6,Aguascalientes
27,DroughtMonitorSite.code.NadmData,198,2019-04-30,20190430,88.83,0.0,0.0,0.0,0.0,11.17,Aguascalientes
28,DroughtMonitorSite.code.NadmData,197,2019-03-31,20190331,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
