,ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL,Year
0,AGUASCALIENTES,11.967093779413023,14.325850093302922,17.05189205955335,17.757924528301892,21.183228911367053,19.55581761006289,18.122210888690553,18.662659768715763,18.87605769230769,17.812996277915637,14.96477564102564,13.291935483870969,16.96437022787728,1985
1,BAJA CALIFORNIA,11.052290308524007,12.020371311260236,13.327013481878716,17.784792542781553,19.01478004219281,22.82988576986942,26.029443732872174,25.755289610173882,21.77610185728507,19.454984422944992,14.226903519617425,12.896352765675392,18.01401744708964,1985
2,BAJA CALIFORNIA SUR,15.702535950621588,16.3417579652634,18.869056644302088,20.618485946420726,22.77174162150152,25.078030303030303,27.94279061002431,28.59966690440003,27.457055896009614,24.077373369435747,20.21841931216931,17.895559735142477,22.131039521526763,1985
3,CAMPECHE,22.932142195031517,24.354780801209365,26.765947117167222,27.19533293697979,28.384986061330153,28.04271063359946,27.602258845110555,27.68991202346041,27.225265006385698,26.54620669056153,25.555455172413797,24.349107142857147,26.38700871884222,1985
4,COAHUILA,8.438872238872241,12.069163812308553,18.01668682795699,19.857929837164754,23.49270758661888,24.373270498084295,24.37649769585253,24.823414368084773,23.656208612111854,20.34679413805064,18.21181145004421,13.224614984391259,19.240664337461748,1985
5,COLIMA,22.786002304147463,22.898278061224485,24.081737773152962,24.157336008898508,25.40889916140153,26.97917845296952,25.661447811447815,26.275145161290325,25.682657450076803,25.711225117492187,23.953174603174602,23.50555083946425,24.758386062061707,1985
6,CHIAPAS,20.974917749959875,22.0568564231248,24.0218189377184,24.750662366658396,25.49561903929411,24.758871814092952,24.15682405874585,24.17007813104355,23.90448230962644,23.744773877292857,22.93695636228629,22.306166781718566,23.606502320963504,1985
7,CHIHUAHUA,6.419064342698577,8.895628235400965,13.315460435621725,16.10403047912557,20.759831029185868,23.052868457300274,22.79232743293074,22.86493832846682,19.800581039755343,16.081301780363123,12.197855388545047,8.467935295227315,15.89598518705178,1985
8,CIUDAD DE MÉXICO,12.98954685099846,14.155765306122447,16.72167338709677,15.820857142857141,17.6215668202765,17.168761904761904,16.076457938013913,16.75236559139785,16.501190476190477,16.040205278592378,14.487303921568628,13.355597722960152,15.64094102840305,1985
9,DURANGO,9.389679756895745,11.745219494047621,16.030008643465212,16.85792292089249,21.548986306829338,22.017342799188636,20.063763087213022,20.953827407351245,19.924198725073403,17.477593518097834,14.121318507412958,11.107737260402056,16.769799868905796,1985
10,GUANAJUATO,13.61081242532856,15.235185185185188,18.151807003032815,18.99261904761905,21.33906330328373,20.022901234567897,18.833699721226605,19.16649284501577,18.914573934837094,18.18996697993395,16.01146153846154,14.351344086021497,17.734993942042806,1985
11,GUERRERO,22.940938402639055,23.343180161644213,25.04972077365444,25.890653163250015,26.703659382438897,25.37840085118764,24.326962760910813,24.339922309899386,24.33373018412077,24.623477345612322,23.68457211462762,23.424683244157148,24.503325057845192,1985
12,HIDALGO,12.348002373546692,13.813115743982776,16.0602090508416,16.600681704260655,17.728079454156408,17.578293405928605,16.494176634046156,17.006693832036067,16.656293193195182,15.739261650352077,14.488463686970944,13.274898552783396,15.649014106841713,1985
13,JALISCO,15.79925355431123,17.629399204839984,20.052793233157765,20.937477695934074,23.505595104914114,22.592689523963415,21.252673595568552,21.76041218643334,21.855936913725905,21.280363466790426,18.470933148558643,17.22502522248742,20.19687940422374,1985
14,ESTADO DE MÉXICO,12.170736140163752,12.9420918700371,15.004485346683204,15.578060208267095,16.524214474799102,15.927845662889819,15.19747734058367,15.324903306258065,15.15934988000447,14.755531134567509,13.409021740743752,12.637338763508659,14.552587989042186,1985
